category,item_name,price
Salads,AL Sultan Mixed Salad V,4.99
Salads,Grilled Halloumi Salad V,5.99
Salads,Tabbouleh V,5.99
Salads,Fattoush V,5.99
Salads,Feta Cheese Salad V,5.49
Salads,Chicken Salad,6.99
Salads,Onion & Tomato Salad V,4.99
Salads,Turkish Salad V,5.99
Qozi,Qozi Lamb,12.99
Qozi,Qozi Lamb for 4 People,54.99
Qozi,Qozi Lamb for 10 People,124.99
Qozi,Qozi Chicken,9.99
Qozi,Maycha,12.99
Shawarma Dishes,Shawarma Lamb,10.99
Shawarma Dishes,Chicken Shawarma,9.99
Shawarma Dishes,Mixed Shawarma,11.50
Vegetarian,Bamieh (okra),9.99
Vegetarian,Fasolya (white beans),9.99
Vegetarian,Tapsi,9.99
Traditionals,Tashreeb Lamb,13.95
Traditionals,Tashreeb Lamb Bamieh,14.49
Seafood,Masgouf,14.99
Seafood,Grilled Salmon,12.49
Seafood,Royal King Prawn,14.99
House Specials,Lamb Mandi,13.99
House Specials,Chicken Mandi,10.99
House Specials,Lamb Kapsa,12.99
House Specials,Chicken Kapsa,10.99
House Specials,Arayes Meat Grill,8.99
House Specials,Shawarma Arabic Lamb,8.99
House Specials,Shawarma Arabic Chicken,8.49
House Specials,Maqlouba,12.99
House Specials,Mulukhiyah,10.99
House Specials,Fasulya,10.99
House Specials,Okra,10.99
House Specials,Sheikh Al-Mahshi (Zucchini),13.99
House Specials,Mansaf Lamb (4 peoples),54.99
Charcoal and Grills,Chicken Tikka,12.99
Charcoal and Grills,Royal Chicken (Taouk),11.99
Charcoal and Grills,Chicken Shashlik,12.99
Charcoal and Grills,Chicken Minced (Koubideh),11.99
Charcoal and Grills,Whole Grilled Chicken,12.99
Charcoal and Grills,Half Grilled Chicken,8.99
Charcoal and Grills,Lamb Chops,14.49
Charcoal and Grills,Lamb Tikka,14.50
Charcoal and Grills,Lamb Shashlik,14.99
Charcoal and Grills,Lamb Mince (koubideh),11.99
Charcoal and Grills,Lamb Mince (Adana),11.99
Charcoal and Grills,Syrian Special Kebab,11.99
Mixed Kebabs,Taccoe Chicken,11.99
Mixed Kebabs,Mixed Taccoe,13.99
Mixed Kebabs,Mince Delight,11.99
Mixed Kebabs,Makhsous,12.99
Mixed Kebabs,Maklude,11.99
Mixed Kebabs,Mixed grill (for 1),17.99
Mixed Kebabs,Mixed grill (for 2),29.99
Mixed Kebabs,Family Feast (for 4),54.99
Indian Main Course,Chicken,10.99
Indian Main Course,Chicken Tikka,11.99
Indian Main Course,Lamb,12.99
Indian Main Course,Prawn,10.99
Indian Main Course,Vegetable,9.99
Indian Special,Chicken Tikka with curry sauce,13.99
Biryani,Lamb,13.99
Biryani,Chicken,12.99
Biryani,Prawn,12.99
Biryani,Vegetable V,11.99
Sundries,Nan,1.25
Sundries,Garlic Nan,1.99
Sundries,Chips,3.49
Sundries,Chips & Cheese,3.99
Sundries,Rice (basmati),2.99
Sundries,Peri Peri Chips,3.99
Tea,Arabic Tea,3.99
Tea,Breakfast Tea,2.99
Tea,Moroccan Tea,3.99
Tea,Desi Tea,4.49
Tea,Green Tea,2.49
Tea,Ice Tea,2.29
Coffee,Turkish Coffee,2.49
Coffee,Espresso,2.25
Coffee,Double Espresso,2.99
Coffee,Latte (Caramel / Vanilla),3.50
Coffee,Cappuccino,3.50
Coffee,Americano,2.49
Coffee,Hot Chocolate,3.75
Coffee,Iced Coffee,3.49
Pizzas,Margherita V,7.99
Pizzas,Spicy Chicken,8.99
Pizzas,Pepperoni,8.99
Pizzas,Veg Supreme V,7.99
Pizzas,Shawarma,8.99
Pizzas,BBQ Chicken,8.99
Wraps,Lamb Shawarma,8.99
Wraps,Chicken Shawarma,7.99
Wraps,Halloumi V,7.49
Wraps,Chicken Tikka,7.99
Wraps,Falafel V,6.99
Wraps,Kebab Mince,7.99
Hoagies,Lamb Shawarma,8.99
Hoagies,Chicken Shawarma,8.49
Hoagies,Chicken Tikka,8.99
Hoagies,Chicken Shashlik,8.99
Calzones,Lamb Shawarma,8.99
